# Transfer Function (TF) from vertical acceleration ground motion [m/s/s] to vertical TM motion [m] for ETMY suspension which has stucked GAS filters at F1, F2, F3.
# This TF is calculated by K.Miyo with "SuspensionModel/release/0.4". (https://github.com/gw-vis/SuspensionModel/tree/release/0.4)
# 
# Frequency[Hz], Magnitude[m/(m/s/s)], Phase[degree]
0.01,244.39,179.98
0.010093,239.94,179.98
0.010186,235.57,179.98
0.01028,231.28,179.98
0.010375,227.07,179.98
0.010471,222.94,179.98
0.010568,218.88,179.98
0.010666,214.89,179.98
0.010765,210.98,179.98
0.010864,207.14,179.98
0.010965,203.37,179.98
0.011066,199.67,179.98
0.011169,196.04,179.98
0.011272,192.47,179.98
0.011376,188.97,179.98
0.011482,185.53,179.98
0.011588,182.15,179.98
0.011695,178.84,179.98
0.011803,175.59,179.98
0.011912,172.39,179.98
0.012023,169.26,179.98
0.012134,166.18,179.98
0.012246,163.16,179.98
0.012359,160.19,179.98
0.012474,157.28,179.98
0.012589,154.42,179.98
0.012706,151.61,179.98
0.012823,148.85,179.98
0.012942,146.15,179.98
0.013062,143.49,179.98
0.013183,140.88,179.98
0.013305,138.32,179.98
0.013428,135.81,179.98
0.013552,133.34,179.97
0.013677,130.92,179.97
0.013804,128.54,179.97
0.013932,126.2,179.97
0.01406,123.91,179.97
0.014191,121.66,179.97
0.014322,119.45,179.97
0.014454,117.28,179.97
0.014588,115.15,179.97
0.014723,113.06,179.97
0.014859,111.01,179.97
0.014997,108.99,179.97
0.015136,107.01,179.97
0.015276,105.07,179.97
0.015417,103.16,179.97
0.01556,101.29,179.97
0.015704,99.452,179.97
0.015849,97.648,179.97
0.015996,95.876,179.97
0.016144,94.137,179.97
0.016293,92.43,179.97
0.016444,90.753,179.97
0.016596,89.108,179.97
0.016749,87.492,179.97
0.016904,85.906,179.97
0.017061,84.349,179.97
0.017219,82.82,179.97
0.017378,81.319,179.97
0.017539,79.846,179.97
0.017701,78.399,179.97
0.017865,76.979,179.97
0.01803,75.585,179.97
0.018197,74.216,179.97
0.018365,72.872,179.97
0.018535,71.553,179.97
0.018707,70.258,179.97
0.01888,68.987,179.96
0.019055,67.738,179.96
0.019231,66.513,179.96
0.019409,65.31,179.96
0.019588,64.128,179.96
0.01977,62.969,179.96
0.019953,61.83,179.96
0.020137,60.713,179.96
0.020324,59.615,179.96
0.020512,58.538,179.96
0.020701,57.481,179.96
0.020893,56.442,179.96
0.021086,55.423,179.96
0.021281,54.422,179.96
