#f, DARM, CARM, MICH, PRC, SRC
0.1,-8.0801e-17+1.2662e-19i,-2.1819e-07-5.4699e-05i,1.8966e-16+4.1628e-22i,4.4311e-16-5.0634e-20i,3.2678e-17-4.7944e-20i
0.10139,-8.0838e-17+1.2839e-19i,-2.1816e-07-5.3949e-05i,1.8966e-16+4.2211e-22i,4.4293e-16-5.1279e-20i,3.268e-17-4.8589e-20i
0.1028,-8.0877e-17+1.3018e-19i,-2.1812e-07-5.321e-05i,1.8966e-16+4.2803e-22i,4.4274e-16-5.1931e-20i,3.2681e-17-4.9243e-20i
0.10424,-8.0916e-17+1.3199e-19i,-2.1809e-07-5.248e-05i,1.8966e-16+4.3403e-22i,4.4254e-16-5.2589e-20i,3.2682e-17-4.9904e-20i
0.10569,-8.0956e-17+1.3383e-19i,-2.1806e-07-5.1761e-05i,1.8966e-16+4.4012e-22i,4.4234e-16-5.3254e-20i,3.2684e-17-5.0574e-20i
0.10716,-8.0998e-17+1.357e-19i,-2.1802e-07-5.1051e-05i,1.8966e-16+4.463e-22i,4.4214e-16-5.3925e-20i,3.2685e-17-5.1252e-20i
0.10865,-8.104e-17+1.3759e-19i,-2.1798e-07-5.0351e-05i,1.8966e-16+4.5256e-22i,4.4192e-16-5.4602e-20i,3.2687e-17-5.1939e-20i
0.11016,-8.1084e-17+1.3951e-19i,-2.1795e-07-4.9661e-05i,1.8966e-16+4.5891e-22i,4.4171e-16-5.5286e-20i,3.2688e-17-5.2634e-20i
0.1117,-8.113e-17+1.4145e-19i,-2.1791e-07-4.898e-05i,1.8966e-16+4.6535e-22i,4.4148e-16-5.5977e-20i,3.269e-17-5.3337e-20i
0.11325,-8.1176e-17+1.4342e-19i,-2.1787e-07-4.8309e-05i,1.8966e-16+4.7188e-22i,4.4125e-16-5.6673e-20i,3.2692e-17-5.4049e-20i
0.11483,-8.1224e-17+1.4542e-19i,-2.1783e-07-4.7647e-05i,1.8966e-16+4.7851e-22i,4.4101e-16-5.7376e-20i,3.2693e-17-5.4769e-20i
0.11643,-8.1274e-17+1.4745e-19i,-2.1778e-07-4.6994e-05i,1.8966e-16+4.8523e-22i,4.4077e-16-5.8085e-20i,3.2695e-17-5.5499e-20i
0.11805,-8.1324e-17+1.4951e-19i,-2.1774e-07-4.635e-05i,1.8966e-16+4.9205e-22i,4.4052e-16-5.8801e-20i,3.2697e-17-5.6236e-20i
0.1197,-8.1377e-17+1.5159e-19i,-2.177e-07-4.5715e-05i,1.8966e-16+4.9896e-22i,4.4026e-16-5.9522e-20i,3.2699e-17-5.6983e-20i
0.12136,-8.1431e-17+1.5371e-19i,-2.1765e-07-4.5088e-05i,1.8966e-16+5.0598e-22i,4.4e-16-6.025e-20i,3.2701e-17-5.7739e-20i
0.12305,-8.1486e-17+1.5585e-19i,-2.1761e-07-4.447e-05i,1.8966e-16+5.1309e-22i,4.3973e-16-6.0983e-20i,3.2703e-17-5.8504e-20i
0.12477,-8.1543e-17+1.5802e-19i,-2.1756e-07-4.3861e-05i,1.8966e-16+5.2031e-22i,4.3945e-16-6.1723e-20i,3.2705e-17-5.9277e-20i
0.1265,-8.1602e-17+1.6023e-19i,-2.1751e-07-4.326e-05i,1.8966e-16+5.2763e-22i,4.3916e-16-6.2468e-20i,3.2707e-17-6.006e-20i
