#f, DARM, CARM, MICH, PRC, SRC
0.1,1.566e-16-9.8952e-20i,2.5872e-05+0.00038893i,1.4042e-16+1.4863e-22i,1.8887e-16+3.2464e-20i,1.143e-15+7.2879e-19i
0.10139,1.5667e-16-1.0038e-19i,2.5868e-05+0.00038363i,1.4042e-16+1.5066e-22i,1.8885e-16+3.2916e-20i,1.1428e-15+7.388e-19i
0.1028,1.5675e-16-1.0182e-19i,2.5865e-05+0.0003784i,1.4043e-16+1.5272e-22i,1.8883e-16+3.3375e-20i,1.1427e-15+7.4895e-19i
0.10424,1.5682e-16-1.0329e-19i,2.5863e-05+0.00037326i,1.4043e-16+1.548e-22i,1.8881e-16+3.384e-20i,1.1425e-15+7.5923e-19i
0.10569,1.569e-16-1.0478e-19i,2.5859e-05+0.00036817i,1.4043e-16+1.5692e-22i,1.8879e-16+3.4311e-20i,1.1423e-15+7.6964e-19i
0.10716,1.5698e-16-1.0629e-19i,2.5856e-05+0.00036316i,1.4043e-16+1.5906e-22i,1.8877e-16+3.4789e-20i,1.1421e-15+7.802e-19i
0.10865,1.5706e-16-1.0783e-19i,2.5853e-05+0.00035823i,1.4043e-16+1.6122e-22i,1.8875e-16+3.5274e-20i,1.1419e-15+7.9089e-19i
0.11016,1.5715e-16-1.0939e-19i,2.585e-05+0.00035336i,1.4043e-16+1.6342e-22i,1.8872e-16+3.5765e-20i,1.1417e-15+8.0173e-19i
0.1117,1.5724e-16-1.1098e-19i,2.5847e-05+0.00034855i,1.4043e-16+1.6564e-22i,1.887e-16+3.6263e-20i,1.1415e-15+8.1271e-19i
0.11325,1.5733e-16-1.1259e-19i,2.5843e-05+0.00034382i,1.4043e-16+1.679e-22i,1.8867e-16+3.6769e-20i,1.1413e-15+8.2383e-19i
0.11483,1.5742e-16-1.1422e-19i,2.584e-05+0.00033915i,1.4043e-16+1.7018e-22i,1.8865e-16+3.7281e-20i,1.1411e-15+8.351e-19i
0.11643,1.5752e-16-1.1589e-19i,2.5836e-05+0.00033454i,1.4043e-16+1.7249e-22i,1.8862e-16+3.78e-20i,1.1409e-15+8.4652e-19i
0.11805,1.5762e-16-1.1757e-19i,2.5832e-05+0.00033i,1.4043e-16+1.7483e-22i,1.8859e-16+3.8327e-20i,1.1406e-15+8.5809e-19i
0.1197,1.5772e-16-1.1929e-19i,2.5829e-05+0.00032552i,1.4043e-16+1.772e-22i,1.8857e-16+3.8861e-20i,1.1404e-15+8.6981e-19i
0.12136,1.5782e-16-1.2103e-19i,2.5825e-05+0.00032111i,1.4043e-16+1.796e-22i,1.8854e-16+3.9402e-20i,1.1402e-15+8.8168e-19i
0.12305,1.5793e-16-1.228e-19i,2.5821e-05+0.00031675i,1.4043e-16+1.8203e-22i,1.8851e-16+3.9951e-20i,1.1399e-15+8.9371e-19i
0.12477,1.5804e-16-1.246e-19i,2.5817e-05+0.00031246i,1.4043e-16+1.8449e-22i,1.8848e-16+4.0508e-20i,1.1397e-15+9.059e-19i
0.1265,1.5815e-16-1.2642e-19i,2.5812e-05+0.00030823i,1.4043e-16+1.8698e-22i,1.8845e-16+4.1072e-20i,1.1394e-15+9.1824e-19i
0.12826,1.5827e-16-1.2828e-19i,2.5808e-05+0.00030405i,1.4044e-16+1.8951e-22i,1.8842e-16+4.1644e-20i,1.1391e-15+9.3074e-19i
0.13005,1.5839e-16-1.3016e-19i,2.5803e-05+0.00029993i,1.4044e-16+1.9206e-22i,1.8838e-16+4.2224e-20i,1.1388e-15+9.4341e-19i
0.13186,1.5852e-16-1.3208e-19i,2.5798e-05+0.00029588i,1.4044e-16+1.9465e-22i,1.8835e-16+4.2812e-20i,1.1385e-15+9.5624e-19i
0.1337,1.5864e-16-1.3403e-19i,2.5793e-05+0.00029187i,1.4044e-16+1.9727e-22i,1.8831e-16+4.3409e-20i,1.1382e-15+9.6923e-19i
0.13556,1.5878e-16-1.3601e-19i,2.5789e-05+0.00028793i,1.4044e-16+1.9992e-22i,1.8828e-16+4.4013e-20i,1.1379e-15+9.8239e-19i
0.13745,1.5891e-16-1.3802e-19i,2.5783e-05+0.00028404i,1.4044e-16+2.0261e-22i,1.8824e-16+4.4626e-20i,1.1376e-15+9.9572e-19i
0.13936,1.5905e-16-1.4006e-19i,2.5778e-05+0.0002802i,1.4044e-16+2.0532e-22i,1.882e-16+4.5248e-20i,1.1373e-15+1.0092e-18i
0.1413,1.592e-16-1.4214e-19i,2.5773e-05+0.00027642i,1.4044e-16+2.0807e-22i,1.8816e-16+4.5878e-20i,1.137e-15+1.0229e-18i
0.14327,1.5934e-16-1.4426e-19i,2.5766e-05+0.00027269i,1.4044e-16+2.1086e-22i,1.8812e-16+4.6517e-20i,1.1366e-15+1.0367e-18i
0.14527,1.595e-16-1.4641e-19i,2.5761e-05+0.00026901i,1.4044e-16+2.1368e-22i,1.8808e-16+4.7165e-20i,1.1363e-15+1.0508e-18i
0.14729,1.5965e-16-1.4859e-19i,2.5755e-05+0.00026538i,1.4044e-16+2.1653e-22i,1.8804e-16+4.7822e-20i,1.1359e-15+1.065e-18i
0.14934,1.5982e-16-1.5082e-19i,2.5749e-05+0.00026181i,1.4045e-16+2.1941e-22i,1.8799e-16+4.8488e-20i,1.1355e-15+1.0793e-18i
0.15142,1.5998e-16-1.5308e-19i,2.5742e-05+0.00025829i,1.4045e-16+2.2233e-22i,1.8795e-16+4.9164e-20i,1.1351e-15+1.0939e-18i
0.15353,1.6016e-16-1.5538e-19i,2.5736e-05+0.00025481i,1.4045e-16+2.2529e-22i,1.879e-16+4.9848e-20i,1.1347e-15+1.1086e-18i
0.15567,1.6033e-16-1.5771e-19i,2.5729e-05+0.00025139i,1.4045e-16+2.2828e-22i,1.8785e-16+5.0543e-20i,1.1343e-15+1.1235e-18i
