% Measured magnetic field noise along X axis by H. Tanaka on 2016.12.15 inside the IXC chamber.
% Frequency [Hz]	Magnetic Field [T/rtHz]
1	3.29E-11
1.029200527	1.85E-11
1.059253725	1.22E-11
1.090184492	1.15E-11
1.122018454	1.37E-11
1.154781985	1.72E-11
1.188502227	2.21E-11
1.223207119	1.08E-11
1.258925412	6.99E-12
1.295686698	1.05E-11
1.333521432	1.48E-11
1.372460961	9.60E-12
1.412537545	1.27E-11
1.453784386	8.33E-12
1.496235656	1.40E-11
1.539926526	1.03E-11
1.584893192	7.85E-12
1.631172909	9.29E-12
1.678804018	1.09E-11
1.727825981	8.36E-12
1.77827941	5.77E-12
1.830206106	8.33E-12
1.883649089	9.66E-12
1.938652636	1.09E-11
1.995262315	8.69E-12
2.053525026	8.18E-12
2.11348904	1.22E-11
2.175204034	1.15E-11
2.238721139	1.53E-11
2.304092976	1.38E-11
2.371373706	1.33E-11
2.440619068	1.36E-11
2.511886432	2.03E-11
2.58523484	1.87E-11
2.66072506	1.40E-11
2.738419634	1.55E-11
2.818382931	1.22E-11
2.900681199	5.07E-12
2.985382619	7.70E-12
3.072557365	6.92E-12
3.16227766	1.18E-11
3.254617835	7.14E-12
3.349654392	7.91E-12
3.447466066	5.97E-12
3.548133892	8.59E-12
3.651741273	7.56E-12
3.758374043	7.56E-10
3.868120546	1.60E-11
3.981071706	1.57E-11
4.097321098	6.72E-12
4.216965034	6.98E-12
4.340102636	7.75E-12
4.466835922	7.32E-12
4.597269885	6.14E-12
4.73151259	6.42E-12
4.869675252	6.96E-12
5.011872336	4.60E-12
5.158221651	5.18E-12
5.308844442	6.22E-12
5.463865499	5.69E-12
5.623413252	5.06E-12
5.787619883	5.03E-12
5.956621435	3.33E-11
6.130557921	8.18E-12
6.309573445	3.33E-12
6.493816316	5.50E-12
6.683439176	4.24E-12
6.878599123	4.68E-12
7.079457844	1.05E-11
7.286181745	7.97E-12
7.498942093	4.64E-12
7.717915156	5.20E-12
7.943282347	4.18E-12
8.175230379	4.68E-12
8.413951416	4.76E-12
8.659643234	5.05E-12
8.912509381	4.26E-12
9.172759354	4.17E-12
9.440608763	3.17E-12
