#Displacement noise coupling G: Multiply G with the displacement noise spectrum of each mirror in m/sqrt(Hz) to get the strain equivalent DARM noise.
#freq,ETMX,ETMY,ITMX,ITMY,BS,PRM,SRM
0.1,0.00034292,0.00032375,0.00077424,0.00010904,0.0006058,2.9635e-06,0.00086115
0.10139,0.00034292,0.00032375,0.00077445,0.00010924,0.00060608,2.9649e-06,0.00086155
0.1028,0.00034292,0.00032374,0.00077465,0.00010945,0.00060636,2.9663e-06,0.00086195
0.10424,0.00034293,0.00032374,0.00077487,0.00010966,0.00060666,2.9678e-06,0.00086237
0.10569,0.00034293,0.00032373,0.00077509,0.00010988,0.00060696,2.9693e-06,0.0008628
0.10716,0.00034294,0.00032373,0.00077532,0.00011011,0.00060727,2.9709e-06,0.00086324
0.10865,0.00034294,0.00032372,0.00077555,0.00011034,0.00060759,2.9725e-06,0.0008637
0.11016,0.00034295,0.00032371,0.00077579,0.00011059,0.00060792,2.9741e-06,0.00086417
0.1117,0.00034296,0.00032371,0.00077604,0.00011084,0.00060826,2.9758e-06,0.00086465
0.11325,0.00034296,0.00032371,0.00077629,0.00011109,0.00060861,2.9776e-06,0.00086515
0.11483,0.00034297,0.0003237,0.00077656,0.00011135,0.00060897,2.9794e-06,0.00086566
0.11643,0.00034297,0.00032369,0.00077682,0.00011162,0.00060934,2.9812e-06,0.00086619
0.11805,0.00034298,0.00032369,0.0007771,0.0001119,0.00060973,2.9831e-06,0.00086673
0.1197,0.00034299,0.00032368,0.00077739,0.00011219,0.00061012,2.9851e-06,0.00086728
0.12136,0.00034299,0.00032367,0.00077768,0.00011248,0.00061052,2.9871e-06,0.00086786
0.12305,0.000343,0.00032367,0.00077799,0.00011278,0.00061094,2.9892e-06,0.00086845
0.12477,0.00034301,0.00032366,0.0007783,0.0001131,0.00061137,2.9914e-06,0.00086906
0.1265,0.00034301,0.00032365,0.00077862,0.00011342,0.00061181,2.9936e-06,0.00086968
0.12826,0.00034302,0.00032365,0.00077895,0.00011375,0.00061226,2.9958e-06,0.00087033
0.13005,0.00034303,0.00032364,0.00077929,0.00011409,0.00061273,2.9982e-06,0.00087099
0.13186,0.00034304,0.00032363,0.00077964,0.00011444,0.00061321,3.0006e-06,0.00087168
0.1337,0.00034304,0.00032362,0.00078,0.0001148,0.00061371,3.0031e-06,0.00087238
0.13556,0.00034305,0.00032362,0.00078037,0.00011517,0.00061422,3.0056e-06,0.00087311
0.13745,0.00034306,0.00032361,0.00078075,0.00011556,0.00061474,3.0083e-06,0.00087385
0.13936,0.00034307,0.0003236,0.00078115,0.00011595,0.00061528,3.011e-06,0.00087462
0.1413,0.00034308,0.00032359,0.00078155,0.00011636,0.00061584,3.0138e-06,0.00087541
0.14327,0.00034309,0.00032358,0.00078197,0.00011678,0.00061641,3.0167e-06,0.00087623
0.14527,0.0003431,0.00032357,0.0007824,0.00011721,0.000617,3.0196e-06,0.00087707
0.14729,0.00034311,0.00032356,0.00078285,0.00011765,0.00061761,3.0227e-06,0.00087793
0.14934,0.00034311,0.00032355,0.0007833,0.00011811,0.00061824,3.0259e-06,0.00087882
0.15142,0.00034312,0.00032354,0.00078377,0.00011858,0.00061889,3.0291e-06,0.00087974
0.15353,0.00034313,0.00032353,0.00078426,0.00011906,0.00061955,3.0324e-06,0.00088069
0.15567,0.00034314,0.00032352,0.00078475,0.00011956,0.00062024,3.0359e-06,0.00088166
0.15783,0.00034316,0.00032351,0.00078527,0.00012008,0.00062095,3.0395e-06,0.00088266
0.16003,0.00034317,0.0003235,0.0007858,0.00012061,0.00062167,3.0431e-06,0.0008837
0.16226,0.00034318,0.00032349,0.00078635,0.00012116,0.00062242,3.0469e-06,0.00088476
0.16452,0.00034319,0.00032347,0.00078691,0.00012172,0.0006232,3.0508e-06,0.00088586
0.16681,0.00034321,0.00032346,0.00078749,0.0001223,0.000624,3.0548e-06,0.000887
0.16913,0.00034322,0.00032345,0.00078809,0.0001229,0.00062482,3.0589e-06,0.00088816
0.17149,0.00034323,0.00032344,0.0007887,0.00012352,0.00062566,3.0632e-06,0.00088937
0.17388,0.00034324,0.00032342,0.00078934,0.00012416,0.00062654,3.0676e-06,0.00089061
0.1763,0.00034326,0.00032341,0.00079,0.00012481,0.00062744,3.0722e-06,0.00089188
0.17875,0.00034327,0.0003234,0.00079067,0.00012548,0.00062836,3.0768e-06,0.0008932
0.18124,0.00034329,0.00032337,0.00079137,0.00012619,0.00062932,3.0817e-06,0.00089456
0.18377,0.0003433,0.00032336,0.00079208,0.0001269,0.00063031,3.0867e-06,0.00089596
0.18632,0.00034332,0.00032335,0.00079283,0.00012765,0.00063133,3.0918e-06,0.00089741
0.18892,0.00034334,0.00032333,0.00079359,0.00012841,0.00063238,3.0971e-06,0.0008989
0.19155,0.00034335,0.00032331,0.00079438,0.0001292,0.00063346,3.1026e-06,0.00090044
0.19422,0.00034337,0.0003233,0.00079519,0.00013002,0.00063458,3.1082e-06,0.00090202
0.19692,0.00034339,0.00032327,0.00079603,0.00013086,0.00063573,3.1141e-06,0.00090366
0.19966,0.00034341,0.00032326,0.0007969,0.00013172,0.00063692,3.1201e-06,0.00090535
0.20244,0.00034343,0.00032324,0.00079779,0.00013262,0.00063814,3.1263e-06,0.00090709
0.20526,0.00034345,0.00032322,0.00079871,0.00013354,0.00063941,3.1327e-06,0.00090889
0.20812,0.00034347,0.0003232,0.00079967,0.0001345,0.00064072,3.1394e-06,0.00091075
0.21102,0.00034349,0.00032318,0.00080065,0.00013548,0.00064207,3.1462e-06,0.00091267
0.21396,0.00034351,0.00032315,0.00080166,0.0001365,0.00064346,3.1533e-06,0.00091464
0.21694,0.00034354,0.00032313,0.00080271,0.00013754,0.0006449,3.1606e-06,0.00091669
0.21996,0.00034356,0.00032311,0.00080379,0.00013863,0.00064639,3.1682e-06,0.0009188
0.22302,0.00034358,0.00032308,0.00080491,0.00013975,0.00064792,3.176e-06,0.00092098
0.22613,0.00034361,0.00032306,0.00080606,0.0001409,0.00064951,3.1841e-06,0.00092323
0.22928,0.00034363,0.00032303,0.00080725,0.0001421,0.00065114,3.1924e-06,0.00092556
0.23247,0.00034366,0.00032301,0.00080848,0.00014333,0.00065284,3.2011e-06,0.00092796
0.23571,0.00034369,0.00032298,0.00080976,0.00014461,0.00065458,3.21e-06,0.00093044
0.23899,0.00034372,0.00032295,0.00081108,0.00014593,0.00065639,3.2192e-06,0.00093301
0.24232,0.00034375,0.00032292,0.00081244,0.00014729,0.00065826,3.2288e-06,0.00093567
0.24569,0.00034378,0.00032289,0.00081384,0.0001487,0.00066019,3.2387e-06,0.00093841
0.24911,0.00034381,0.00032286,0.0008153,0.00015016,0.00066219,3.2489e-06,0.00094125
0.25258,0.00034384,0.00032282,0.0008168,0.00015166,0.00066426,3.2595e-06,0.00094419
0.2561,0.00034388,0.00032279,0.00081836,0.00015322,0.0006664,3.2705e-06,0.00094723
0.25967,0.00034391,0.00032276,0.00081997,0.00015483,0.00066861,3.2819e-06,0.00095037
0.26328,0.00034395,0.00032272,0.00082164,0.00015651,0.0006709,3.2936e-06,0.00095362
