#Displacement noise coupling G: Multiply G with the displacement noise spectrum of each mirror in m/sqrt(Hz) to get the strain equivalent DARM noise.
#freq,ETMX,ETMY,ITMX,ITMY,BS,PRM,SRM
0.1,0.00034018,0.00032648,0.00064828,1.7121e-05,0.00035071,6.0113e-05,0.00055735
0.10139,0.00034019,0.00032648,0.00064845,1.6956e-05,0.00035085,6.0172e-05,0.00055762
0.1028,0.00034019,0.00032648,0.00064862,1.6783e-05,0.00035101,6.0233e-05,0.0005579
0.10424,0.0003402,0.00032647,0.0006488,1.6602e-05,0.00035117,6.0296e-05,0.00055818
0.10569,0.0003402,0.00032647,0.00064898,1.6422e-05,0.00035133,6.0361e-05,0.00055848
0.10716,0.0003402,0.00032647,0.00064917,1.6234e-05,0.0003515,6.0428e-05,0.00055878
0.10865,0.0003402,0.00032646,0.00064937,1.6038e-05,0.00035167,6.0496e-05,0.00055909
0.11016,0.00034021,0.00032646,0.00064957,1.5838e-05,0.00035185,6.0567e-05,0.00055941
0.1117,0.00034021,0.00032645,0.00064978,1.5631e-05,0.00035203,6.064e-05,0.00055974
0.11325,0.00034022,0.00032645,0.00064999,1.542e-05,0.00035222,6.0715e-05,0.00056008
0.11483,0.00034022,0.00032644,0.00065021,1.5202e-05,0.00035241,6.0792e-05,0.00056043
0.11643,0.00034023,0.00032644,0.00065043,1.4978e-05,0.00035261,6.0872e-05,0.00056079
0.11805,0.00034023,0.00032643,0.00065066,1.4747e-05,0.00035281,6.0954e-05,0.00056117
0.1197,0.00034024,0.00032643,0.0006509,1.4507e-05,0.00035302,6.1039e-05,0.00056155
0.12136,0.00034025,0.00032642,0.00065115,1.426e-05,0.00035324,6.1126e-05,0.00056194
0.12305,0.00034025,0.00032642,0.0006514,1.4008e-05,0.00035346,6.1216e-05,0.00056234
0.12477,0.00034026,0.00032641,0.00065166,1.3748e-05,0.00035369,6.1308e-05,0.00056276
0.1265,0.00034026,0.0003264,0.00065193,1.3479e-05,0.00035393,6.1403e-05,0.00056319
0.12826,0.00034027,0.0003264,0.00065221,1.3206e-05,0.00035417,6.1502e-05,0.00056363
0.13005,0.00034027,0.00032639,0.00065249,1.2923e-05,0.00035442,6.1603e-05,0.00056409
0.13186,0.00034028,0.00032639,0.00065278,1.263e-05,0.00035468,6.1707e-05,0.00056456
0.1337,0.00034029,0.00032638,0.00065308,1.2329e-05,0.00035494,6.1815e-05,0.00056504
0.13556,0.00034029,0.00032637,0.0006534,1.2017e-05,0.00035522,6.1926e-05,0.00056554
0.13745,0.0003403,0.00032637,0.00065372,1.1698e-05,0.0003555,6.204e-05,0.00056605
0.13936,0.00034031,0.00032636,0.00065405,1.1369e-05,0.00035579,6.2158e-05,0.00056657
0.1413,0.00034032,0.00032635,0.00065439,1.1028e-05,0.00035609,6.2279e-05,0.00056712
0.14327,0.00034032,0.00032635,0.00065473,1.0683e-05,0.00035639,6.2405e-05,0.00056768
0.14527,0.00034033,0.00032634,0.0006551,1.0321e-05,0.00035671,6.2534e-05,0.00056825
0.14729,0.00034034,0.00032633,0.00065547,9.9502e-06,0.00035704,6.2667e-05,0.00056885
0.14934,0.00034035,0.00032632,0.00065585,9.5678e-06,0.00035737,6.2805e-05,0.00056946
0.15142,0.00034035,0.00032631,0.00065625,9.174e-06,0.00035772,6.2946e-05,0.00057009
0.15353,0.00034036,0.0003263,0.00065665,8.7679e-06,0.00035807,6.3093e-05,0.00057074
0.15567,0.00034037,0.00032629,0.00065707,8.3478e-06,0.00035844,6.3244e-05,0.0005714
0.15783,0.00034038,0.00032628,0.0006575,7.9192e-06,0.00035882,6.34e-05,0.00057209
0.16003,0.00034039,0.00032627,0.00065795,7.4729e-06,0.00035921,6.356e-05,0.0005728
0.16226,0.0003404,0.00032626,0.00065841,7.0158e-06,0.00035961,6.3726e-05,0.00057354
0.16452,0.00034041,0.00032625,0.00065888,6.5444e-06,0.00036002,6.3898e-05,0.00057429
0.16681,0.00034042,0.00032624,0.00065937,6.0583e-06,0.00036044,6.4075e-05,0.00057507
0.16913,0.00034044,0.00032623,0.00065988,5.554e-06,0.00036088,6.4257e-05,0.00057587
0.17149,0.00034044,0.00032622,0.00066039,5.0389e-06,0.00036133,6.4446e-05,0.0005767
0.17388,0.00034046,0.00032621,0.00066093,4.5051e-06,0.0003618,6.4641e-05,0.00057755
0.1763,0.00034047,0.0003262,0.00066148,3.9573e-06,0.00036228,6.4842e-05,0.00057843
0.17875,0.00034048,0.00032618,0.00066205,3.389e-06,0.00036277,6.505e-05,0.00057933
0.18124,0.00034049,0.00032617,0.00066264,2.8069e-06,0.00036328,6.5265e-05,0.00058027
0.18377,0.00034051,0.00032616,0.00066325,2.2095e-06,0.00036381,6.5487e-05,0.00058123
0.18632,0.00034052,0.00032615,0.00066387,1.5951e-06,0.00036435,6.5716e-05,0.00058223
0.18892,0.00034053,0.00032613,0.00066452,9.8141e-07,0.00036491,6.5953e-05,0.00058325
0.19155,0.00034055,0.00032612,0.00066519,4.4653e-07,0.00036549,6.6199e-05,0.00058431
0.19422,0.00034056,0.0003261,0.00066587,5.8506e-07,0.00036608,6.6452e-05,0.00058541
0.19692,0.00034058,0.00032609,0.00066658,1.2162e-06,0.00036669,6.6715e-05,0.00058653
0.19966,0.0003406,0.00032607,0.00066732,1.927e-06,0.00036733,6.6986e-05,0.0005877
0.20244,0.00034061,0.00032605,0.00066808,2.6754e-06,0.00036798,6.7267e-05,0.0005889
0.20526,0.00034063,0.00032604,0.00066886,3.4483e-06,0.00036865,6.7557e-05,0.00059014
0.20812,0.00034065,0.00032602,0.00066967,4.2527e-06,0.00036934,6.7858e-05,0.00059142
0.21102,0.00034066,0.000326,0.0006705,5.0818e-06,0.00037006,6.8169e-05,0.00059274
0.21396,0.00034068,0.00032599,0.00067137,5.9417e-06,0.0003708,6.8492e-05,0.00059411
0.21694,0.0003407,0.00032596,0.00067226,6.8337e-06,0.00037156,6.8826e-05,0.00059552
0.21996,0.00034072,0.00032594,0.00067318,7.7534e-06,0.00037235,6.9172e-05,0.00059697
0.22302,0.00034074,0.00032592,0.00067414,8.7033e-06,0.00037316,6.953e-05,0.00059848
0.22613,0.00034076,0.0003259,0.00067512,9.6863e-06,0.000374,6.9902e-05,0.00060004
0.22928,0.00034078,0.00032588,0.00067614,1.0702e-05,0.00037487,7.0287e-05,0.00060164
0.23247,0.00034081,0.00032586,0.0006772,1.1756e-05,0.00037576,7.0686e-05,0.00060331
0.23571,0.00034083,0.00032583,0.00067829,1.2843e-05,0.00037669,7.1101e-05,0.00060503
0.23899,0.00034086,0.00032581,0.00067942,1.397e-05,0.00037764,7.1531e-05,0.0006068
0.24232,0.00034088,0.00032578,0.00068059,1.5136e-05,0.00037863,7.1977e-05,0.00060864
0.24569,0.00034091,0.00032576,0.0006818,1.6343e-05,0.00037965,7.244e-05,0.00061054
0.24911,0.00034094,0.00032573,0.00068305,1.7595e-05,0.0003807,7.2921e-05,0.00061251
0.25258,0.00034097,0.0003257,0.00068435,1.8889e-05,0.00038179,7.3421e-05,0.00061455
0.2561,0.00034099,0.00032567,0.00068569,2.0229e-05,0.00038291,7.394e-05,0.00061666
0.25967,0.00034102,0.00032564,0.00068709,2.1617e-05,0.00038408,7.448e-05,0.00061884
